Filename,True Label,Predicted Label,Confidence (%),Correct
102.png,Healthy,Healthy,98.89,True
110.png,Healthy,Healthy,99.71,True
117.png,Healthy,Healthy,98.07,True
118.png,Healthy,Healthy,99.09,True
13.png,Healthy,Healthy,99.90,True
141.png,Healthy,Healthy,99.80,True
155.png,Healthy,Healthy,99.89,True
163.png,Healthy,Healthy,99.92,True
171.png,Healthy,Healthy,99.99,True
178.png,Healthy,Healthy,99.11,True
185.png,Healthy,Healthy,99.06,True
188.png,Healthy,Healthy,99.12,True
195.png,Healthy,Healthy,99.73,True
214.png,Healthy,Healthy,98.94,True
22.png,Healthy,Healthy,99.74,True
223.png,Healthy,Healthy,94.38,True
24.png,Healthy,Healthy,99.76,True
243.png,Healthy,Healthy,98.10,True
244.png,Healthy,Healthy,93.10,True
249.png,Healthy,Healthy,99.98,True
268.png,Healthy,Healthy,98.76,True
271.png,Healthy,Healthy,99.48,True
28.png,Healthy,Healthy,99.89,True
294.png,Healthy,Healthy,99.88,True
295.png,Healthy,Healthy,99.68,True
306.png,Healthy,Healthy,99.86,True
316.png,Healthy,Healthy,98.11,True
318.png,Healthy,Healthy,90.55,True
342.png,Healthy,Healthy,99.84,True
359.png,Healthy,Healthy,99.86,True
377.png,Healthy,Healthy,99.97,True
383.png,Healthy,Healthy,98.43,True
397.png,Healthy,Healthy,94.38,True
402.png,Healthy,Healthy,99.86,True
404.png,Healthy,Healthy,97.75,True
41.png,Healthy,Healthy,99.97,True
429.png,Healthy,Healthy,99.62,True
440.png,Healthy,Healthy,95.66,True
446.png,Healthy,Healthy,99.60,True
448.png,Healthy,Healthy,98.22,True
45.png,Healthy,Healthy,99.65,True
451.png,Healthy,Healthy,97.28,True
460.png,Healthy,Healthy,99.53,True
471.png,Healthy,Healthy,99.90,True
476.png,Healthy,Healthy,99.97,True
491.png,Healthy,Healthy,99.77,True
512.png,Healthy,Healthy,98.85,True
513.png,Healthy,Healthy,99.81,True
519.png,Healthy,Healthy,98.91,True
523.png,Healthy,Healthy,99.57,True
526.png,Healthy,Healthy,99.80,True
527.png,Healthy,Healthy,99.71,True
535.png,Healthy,Healthy,99.00,True
551.png,Healthy,Healthy,97.80,True
571.png,Healthy,Healthy,99.92,True
6.png,Healthy,Healthy,99.95,True
60.png,Healthy,Healthy,99.66,True
603.png,Healthy,Healthy,99.90,True
605.png,Healthy,Healthy,99.38,True
606.png,Healthy,Healthy,99.56,True
608.png,Healthy,Healthy,99.40,True
609.png,Healthy,Healthy,99.90,True
615.png,Healthy,Healthy,95.91,True
64.png,Healthy,Healthy,99.92,True
640.png,Healthy,Healthy,99.79,True
647.png,Healthy,Healthy,99.87,True
681.png,Healthy,Healthy,99.12,True
695.png,Healthy,Healthy,99.98,True
697.png,Healthy,Healthy,99.95,True
698.png,Healthy,Healthy,99.69,True
80.png,Healthy,Healthy,59.03,True
93.png,Healthy,Healthy,99.86,True
100.png,Bleached,Bleached,99.83,True
104.png,Bleached,Bleached,99.99,True
111.png,Bleached,Bleached,99.68,True
119.png,Bleached,Bleached,99.93,True
121.png,Bleached,Bleached,99.91,True
137.png,Bleached,Bleached,99.93,True
14.png,Bleached,Bleached,99.97,True
140.png,Bleached,Bleached,99.95,True
141.png,Bleached,Bleached,97.75,True
153.png,Bleached,Bleached,94.83,True
163.png,Bleached,Bleached,97.69,True
164.png,Bleached,Bleached,96.55,True
173.png,Bleached,Bleached,99.82,True
175.png,Bleached,Bleached,99.08,True
184.png,Bleached,Bleached,99.69,True
187.png,Bleached,Bleached,98.49,True
193.png,Bleached,Bleached,98.77,True
194.png,Bleached,Bleached,99.94,True
199.png,Bleached,Bleached,98.90,True
204.png,Bleached,Bleached,98.92,True
207.png,Bleached,Bleached,99.88,True
218.png,Bleached,Bleached,99.01,True
222.png,Bleached,Bleached,93.52,True
229.png,Bleached,Bleached,98.44,True
237.png,Bleached,Bleached,99.39,True
248.png,Bleached,Bleached,80.33,True
264.png,Bleached,Bleached,97.04,True
271.png,Bleached,Bleached,99.57,True
283.png,Bleached,Bleached,98.86,True
285.png,Bleached,Bleached,94.58,True
291.png,Bleached,Bleached,98.98,True
304.png,Bleached,Bleached,95.54,True
308.png,Bleached,Bleached,80.71,True
310.png,Bleached,Bleached,99.85,True
34.png,Bleached,Bleached,98.33,True
344.png,Bleached,Bleached,99.80,True
345.png,Bleached,Bleached,99.22,True
351.png,Bleached,Bleached,99.78,True
396.png,Bleached,Bleached,99.74,True
40.png,Bleached,Bleached,93.21,True
401.png,Bleached,Bleached,99.92,True
422.png,Bleached,Bleached,99.78,True
46.png,Bleached,Bleached,99.16,True
461.png,Bleached,Bleached,99.94,True
463.png,Bleached,Bleached,99.98,True
492.png,Bleached,Healthy,49.09,False
493.png,Bleached,Bleached,99.10,True
500.png,Bleached,Bleached,99.88,True
502.png,Bleached,Bleached,99.94,True
503.png,Bleached,Bleached,99.93,True
51.png,Bleached,Bleached,99.30,True
525.png,Bleached,Healthy,49.09,False
531.png,Bleached,Bleached,99.86,True
535.png,Bleached,Bleached,99.93,True
538.png,Bleached,Bleached,99.68,True
554.png,Bleached,Bleached,99.86,True
559.png,Bleached,Bleached,99.98,True
560.png,Bleached,Bleached,99.82,True
572.png,Bleached,Bleached,99.21,True
647.png,Bleached,Bleached,99.97,True
648.png,Bleached,Bleached,85.69,True
653.png,Bleached,Bleached,99.92,True
701.png,Bleached,Bleached,94.79,True
708.png,Bleached,Dead,52.37,False
712.png,Bleached,Bleached,99.85,True
719.png,Bleached,Bleached,99.94,True
72.png,Bleached,Bleached,99.59,True
78.png,Bleached,Bleached,98.13,True
80.png,Bleached,Bleached,99.51,True
85.png,Bleached,Bleached,98.66,True
89.png,Bleached,Bleached,99.62,True
92.png,Bleached,Bleached,99.93,True
108.png,Dead,Dead,99.32,True
124.png,Dead,Dead,99.87,True
133.png,Dead,Dead,99.85,True
14.png,Dead,Bleached,69.26,False
142.png,Dead,Dead,98.68,True
149.png,Dead,Dead,92.50,True
24.png,Dead,Dead,66.98,True
26.png,Dead,Dead,99.77,True
29.png,Dead,Dead,99.96,True
39.png,Dead,Dead,99.88,True
56.png,Dead,Dead,88.31,True
71.png,Dead,Dead,99.93,True
75.png,Dead,Dead,95.88,True
82.png,Dead,Dead,99.97,True
96.png,Dead,Dead,96.95,True
